,value,metric,type
213,0.3729531534065384,fde,ml
214,1.3051935949396092,fde,ml
215,2.3161889793832775,fde,ml
216,0.36937331436998466,fde,ml
217,1.5391876120125414,fde,ml
218,2.363739128397767,fde,ml
219,4.376500966370214,fde,ml
220,2.688048357563199,fde,ml
221,2.1347556922978956,fde,ml
222,0.8460035890220934,fde,ml
223,2.642770866098184,fde,ml
224,6.303482059170773,fde,ml
225,2.0701172038051214,fde,ml
226,2.689362826200317,fde,ml
227,0.2897434984677979,fde,ml
228,4.124160265998378,fde,ml
229,2.2507549182943656,fde,ml
230,2.561842224454671,fde,ml
231,3.8764834854805392,fde,ml
232,1.1300216075599083,fde,ml
233,0.3724610496039073,fde,ml
234,1.8329638186009876,fde,ml
235,1.769036089539945,fde,ml
236,0.36937331436998466,fde,ml
237,1.0185291600293027,fde,ml
238,1.0541869732939153,fde,ml
239,2.9020172542160942,fde,ml
240,2.6326223358255993,fde,ml
241,1.303269278740724,fde,ml
242,0.9356678293569437,fde,ml
243,0.26959402168465924,fde,ml
244,7.4691237633155785,fde,ml
245,2.373140638041747,fde,ml
246,3.616623521659086,fde,ml
247,0.29601769020171514,fde,ml
248,3.708403936307248,fde,ml
249,4.257954016664864,fde,ml
250,2.3637943147113316,fde,ml
251,3.033318404981739,fde,ml
252,0.7896048406680316,fde,ml
253,0.37218140108207914,fde,ml
254,1.362145534848308,fde,ml
255,1.7241817028009079,fde,ml
256,0.36937331436998466,fde,ml
257,1.732211621526501,fde,ml
258,0.5970932377975173,fde,ml
259,2.274796952385421,fde,ml
260,2.4534649932665618,fde,ml
261,1.643244998667184,fde,ml
262,1.5048772559963488,fde,ml
263,1.9507948444664243,fde,ml
264,8.045739218917861,fde,ml
265,1.7824689543942618,fde,ml
266,3.6028040801162913,fde,ml
267,0.35119563114088165,fde,ml
268,4.296211021354095,fde,ml
269,4.683479792377758,fde,ml
270,1.9828156212557337,fde,ml
271,3.631747100747073,fde,ml
272,0.5192326187748151,fde,ml
273,0.36911880862929086,fde,ml
274,1.429000813857078,fde,ml
275,1.8275840440282258,fde,ml
276,0.36937331436998466,fde,ml
277,2.7994182790650917,fde,ml
278,0.6730442352223479,fde,ml
279,2.071439388786177,fde,ml
280,2.278042954170764,fde,ml
281,1.1090978870995043,fde,ml
282,1.5283583124818152,fde,ml
283,2.2054018096494357,fde,ml
284,8.847764552512366,fde,ml
285,1.8742972251672265,fde,ml
286,3.857802296844876,fde,ml
287,0.4130517860712966,fde,ml
288,4.244369165273647,fde,ml
289,1.9664027206227912,fde,ml
290,1.3574807650596452,fde,ml
291,2.3249795956821093,fde,ml
292,0.7025271936236613,fde,ml
293,0.3694288570199378,fde,ml
294,1.0619198981069204,fde,ml
295,1.0605491266062288,fde,ml
296,0.36937331436998466,fde,ml
297,3.666132380346585,fde,ml
298,1.9335608536046869,fde,ml
299,2.8424392025557625,fde,ml
300,2.667326116891392,fde,ml
301,3.355721270254594,fde,ml
302,1.398221530905488,fde,ml
303,2.5687461620159304,fde,ml
304,8.500843295035603,fde,ml
305,1.9150351392443483,fde,ml
306,4.08516626648288,fde,ml
307,0.47916136820959104,fde,ml
308,0.8730752692048345,fde,ml
309,2.6888765922292266,fde,ml
310,1.1753994435925312,fde,ml
311,2.9343343842009526,fde,ml
312,0.37473755857334456,fde,ml
313,0.46019262762129026,fde,ml
314,1.310254080035478,fde,ml
315,1.0762223319998938,fde,ml
316,0.36937331436998466,fde,ml
317,4.452390054978072,fde,ml
318,1.9768052254033899,fde,ml
319,1.8608569700203443,fde,ml
320,2.700334186148825,fde,ml
321,2.994441021579418,fde,ml
322,1.0916589512426351,fde,ml
323,2.6955931983650556,fde,ml
324,9.132536213375133,fde,ml
325,2.071878493116418,fde,ml
326,4.638513260993349,fde,ml
327,0.48887226117017735,fde,ml
328,1.0250686174711297,fde,ml
329,2.815470318940897,fde,ml
330,1.4626782808892351,fde,ml
331,2.2398367033585878,fde,ml
332,0.20588275010162696,fde,ml
333,0.3733905238267393,fde,ml
334,0.9753385786627841,fde,ml
335,1.2812306091559014,fde,ml
336,0.36937331436998466,fde,ml
337,4.158838583131372,fde,ml
338,1.6622971370318547,fde,ml
339,2.1330220255409458,fde,ml
340,2.643934888475756,fde,ml
341,2.9845339578166192,fde,ml
342,1.0932598041038804,fde,ml
343,2.2139988473548224,fde,ml
344,9.34160581004537,fde,ml
345,2.037534301928477,fde,ml
346,3.9180088417544323,fde,ml
347,0.47567777187673627,fde,ml
348,0.9428210250939791,fde,ml
349,3.151656032194997,fde,ml
350,1.7258582265045053,fde,ml
351,1.4922919064250755,fde,ml
352,0.30572258482139114,fde,ml
353,0.4624018022003876,fde,ml
354,0.5853875559111711,fde,ml
355,1.775842259275426,fde,ml
356,0.36937331436998466,fde,ml
357,3.6166304375948504,fde,ml
358,1.3983609235748011,fde,ml
359,2.7175432175246668,fde,ml
360,2.3325967802692213,fde,ml
361,3.152176562241136,fde,ml
362,1.715572989942327,fde,ml
363,1.8828889089223142,fde,ml
364,9.520901451009097,fde,ml
365,1.9568054303208875,fde,ml
366,3.447645002099877,fde,ml
367,0.6647883002022931,fde,ml
368,1.0715109461220207,fde,ml
369,3.168273963491401,fde,ml
370,1.811569633378179,fde,ml
371,1.1886488647829212,fde,ml
372,0.8913451087986348,fde,ml
373,0.46394030305372974,fde,ml
374,0.8187209395221607,fde,ml
375,1.8188806814611935,fde,ml
376,0.36937331436998466,fde,ml
377,4.377410135298543,fde,ml
378,1.4704729975573192,fde,ml
379,2.0206664787441926,fde,ml
380,2.2830596843536894,fde,ml
381,2.8595088710094414,fde,ml
382,1.6186566740113641,fde,ml
383,1.704815877993735,fde,ml
384,10.249227406504568,fde,ml
385,1.900262578319679,fde,ml
386,4.000339263422779,fde,ml
387,0.6915938959797924,fde,ml
388,1.1435176680677457,fde,ml
389,2.6893870412575054,fde,ml
390,2.9790569832085994,fde,ml
391,2.873966264515229,fde,ml
392,1.053554684537245,fde,ml
393,0.46692009710798926,fde,ml
394,2.6961387391552494,fde,ml
395,0.7602815935685197,fde,ml
396,0.36937331436998466,fde,ml
397,3.0664894303912145,fde,ml
398,2.1179519044599164,fde,ml
399,1.0170742929017567,fde,ml
400,2.216133197646938,fde,ml
401,1.2010278774047796,fde,ml
402,0.7523714424430807,fde,ml
403,1.1965165640297013,fde,ml
404,12.021371370080093,fde,ml
405,2.9068726257514395,fde,ml
406,5.877246179995084,fde,ml
407,1.0901991165725124,fde,ml
408,0.8184066543542166,fde,ml
409,4.914923699115892,fde,ml
410,2.4106288468011643,fde,ml
411,2.428572549610227,fde,ml
412,2.7017260829125838,fde,ml
413,1.4912695186687666,fde,ml
414,0.4677144105831103,fde,ml
415,2.9523878574359106,fde,ml
416,0.7470082050565701,fde,ml
417,0.36937331436998466,fde,ml
418,3.6029192261344396,fde,ml
419,1.8316534445297945,fde,ml
420,1.0933720764591264,fde,ml
421,2.239633753647332,fde,ml
422,1.0927014553810512,fde,ml
423,1.3209781637254447,fde,ml
424,1.3311743754936844,fde,ml
425,12.831901042058808,fde,ml
426,2.5014090586682642,fde,ml
427,6.2905615316494,fde,ml
428,1.6416959232270074,fde,ml
429,2.0218769987871426,fde,ml
430,3.126058658343355,fde,ml
431,1.537266126132355,fde,ml
432,0.8651683946476284,fde,ml
433,2.4405958856175807,fde,ml
434,1.6889260471297294,fde,ml
435,0.4650816816069899,fde,ml
436,2.2839550556278487,fde,ml
437,1.0235361053051424,fde,ml
438,0.36937331436998466,fde,ml
439,2.1344987084163836,fde,ml
440,0.8761291965452014,fde,ml
441,1.0050680872499,fde,ml
442,2.324848286607129,fde,ml
443,1.5132126815671305,fde,ml
444,0.9684893285771214,fde,ml
445,0.07596650466329914,fde,ml
446,13.144170031082513,fde,ml
447,2.0952850175496054,fde,ml
448,5.802029167415611,fde,ml
449,1.9128656230013954,fde,ml
450,1.7183367160415066,fde,ml
451,1.9055313597001438,fde,ml
452,0.9953369793471123,fde,ml
453,1.0985764992761977,fde,ml
454,3.1639802422374244,fde,ml
455,1.8096338131418996,fde,ml
456,0.4637488476535472,fde,ml
457,1.4300440161366172,fde,ml
458,1.3965550773605988,fde,ml
459,0.36937331436998466,fde,ml
460,1.3901724005346612,fde,ml
461,0.9510271714882946,fde,ml
462,1.59534380389236,fde,ml
463,2.4859491493136763,fde,ml
464,2.7053631245186613,fde,ml
465,0.6979302590300928,fde,ml
466,1.5523101642771302,fde,ml
467,13.662888016280496,fde,ml
468,1.74879962421469,fde,ml
469,5.48549894574295,fde,ml
470,2.1035128810089456,fde,ml
471,1.0762119891265576,fde,ml
472,0.9660854662104815,fde,ml
473,1.6101415412458422,fde,ml
474,1.4035586053442854,fde,ml
