,value,metric,type
392,0.37061293419482616,ade,ml
393,0.23675225779161815,ade,ml
394,1.389582800794275,ade,ml
395,0.41720343525193,ade,ml
396,0.1787243376985155,ade,ml
397,1.4081339682235663,ade,ml
398,1.078963159156326,ade,ml
399,0.8171878980116052,ade,ml
400,1.0357015767122626,ade,ml
401,0.7184089730853446,ade,ml
402,0.422026008594136,ade,ml
403,0.6075587192655695,ade,ml
404,6.505512768051582,ade,ml
405,1.2955647064462494,ade,ml
406,3.0423238200444795,ade,ml
407,0.4883352994847006,ade,ml
408,0.4420935005437045,ade,ml
409,2.6704955331241855,ade,ml
410,1.118463143711734,ade,ml
411,1.376585509065121,ade,ml
412,1.1845912333855184,ade,ml
413,0.6229860216154574,ade,ml
414,0.23746986621853391,ade,ml
415,1.621254963429907,ade,ml
416,0.40170251395323087,ade,ml
417,0.1787243376985155,ade,ml
418,1.7664107240941662,ade,ml
419,0.9730876820914011,ade,ml
420,0.521175396426247,ade,ml
421,1.0415384369311098,ade,ml
422,0.5820269327836427,ade,ml
423,0.6270007212634597,ade,ml
424,0.6889589050272488,ade,ml
425,7.122916542524908,ade,ml
426,1.1497478669817023,ade,ml
427,3.421901908168953,ade,ml
428,0.7795077480250594,ade,ml
429,1.0032780952557565,ade,ml
430,1.6577059364585602,ade,ml
431,0.7321175560043439,ade,ml
432,0.5283614324558162,ade,ml
433,1.0578385455732604,ade,ml
434,0.8056679689140531,ade,ml
435,0.23365624259597229,ade,ml
436,1.3351628113872192,ade,ml
437,0.5203423038879446,ade,ml
438,0.1787243376985155,ade,ml
439,1.1106757166721521,ade,ml
440,0.5203045760923896,ade,ml
441,0.6004649953576986,ade,ml
442,1.071580361619259,ade,ml
443,0.8555828416081784,ade,ml
444,0.5354662184232015,ade,ml
445,0.17944324661216085,ade,ml
446,7.329762814570738,ade,ml
447,1.0142595782305548,ade,ml
448,3.268056775827105,ade,ml
449,0.8875217977695941,ade,ml
450,0.8651588930649607,ade,ml
451,1.0334846095373171,ade,ml
452,0.5020687619620444,ade,ml
453,0.6564473300700381,ade,ml
454,1.3631383417466516,ade,ml
455,0.9493347962463025,ade,ml
456,0.23263088498375684,ade,ml
457,0.8610852842804618,ade,ml
458,0.7252794548284656,ade,ml
459,0.1787243376985155,ade,ml
460,0.7796847485410355,ade,ml
461,0.5979874124795559,ade,ml
462,1.0882899464307838,ade,ml
463,1.1798530267848335,ade,ml
464,1.6802421049801548,ade,ml
465,0.48749035194065476,ade,ml
466,0.9207084006017681,ade,ml
467,7.533096523668571,ade,ml
468,0.8514129624531815,ade,ml
469,3.0679419352701394,ade,ml
470,1.148132441075207,ade,ml
471,0.5151038136763185,ade,ml
472,0.5019846711490447,ade,ml
473,0.8613436019955786,ade,ml
474,0.7639142433875188,ade,ml
475,1.392532018295273,ade,ml
476,1.2103718037557878,ade,ml
477,0.23477395414958377,ade,ml
478,0.8949294238026987,ade,ml
479,0.8036303716377144,ade,ml
480,0.1787243376985155,ade,ml
481,0.9267754024796834,ade,ml
482,0.2498538581915689,ade,ml
483,1.062825605143269,ade,ml
484,1.145853973708549,ade,ml
485,1.5642173166619953,ade,ml
486,0.4685028240909113,ade,ml
487,1.0418558529508315,ade,ml
488,7.853053676079394,ade,ml
489,0.8565873454001363,ade,ml
490,3.3163885890429605,ade,ml
491,1.5228427466889556,ade,ml
492,0.5430094100969658,ade,ml
493,0.5276369532228365,ade,ml
494,1.125354380675532,ade,ml
495,0.5179995613697838,ade,ml
496,1.4178657933789809,ade,ml
497,1.2882185993329098,ade,ml
498,0.1851673941783335,ade,ml
499,0.6161414123323589,ade,ml
500,0.4400668823559924,ade,ml
501,0.1787243376985155,ade,ml
502,0.2012428456563242,ade,ml
503,0.7985339201191982,ade,ml
504,0.8993718224190231,ade,ml
505,1.3214731689819217,ade,ml
506,1.3836779646700148,ade,ml
507,0.4009569685461609,ade,ml
508,0.8793542640785307,ade,ml
509,7.828004736356569,ade,ml
510,0.5886854680144357,ade,ml
511,3.3262671991836257,ade,ml
512,2.199536522208519,ade,ml
513,0.6752403488728945,ade,ml
514,0.3491923412184483,ade,ml
515,0.9209036279458175,ade,ml
516,0.6557682305444836,ade,ml
517,1.432534547619916,ade,ml
518,1.3565585600352794,ade,ml
519,0.17976616423866634,ade,ml
520,0.5877917118774107,ade,ml
521,0.5747821794780275,ade,ml
522,0.1787243376985155,ade,ml
523,0.25497394808849466,ade,ml
