,value,metric,type
492,1.5268951032272444,kde,full
493,2.672291528499245,kde,full
494,1.9109380800726083,kde,full
495,2.7577335177035063,kde,full
496,1.522871331071245,kde,full
497,0.5728175892941663,kde,full
498,-0.7069999163406328,kde,full
499,2.1137335322730335,kde,full
500,0.7747344738326285,kde,full
501,-0.9005616860695924,kde,full
502,1.420792563005413,kde,full
503,2.08103010436505,kde,full
504,2.5741658947032375,kde,full
505,2.0379501823833746,kde,full
506,2.447832154443784,kde,full
507,2.7490034024785897,kde,full
508,2.5883539069894512,kde,full
509,6.976913575650542,kde,full
510,1.1155355116874344,kde,full
511,3.7922666639943454,kde,full
512,3.461138766379416,kde,full
513,1.5761095767151183,kde,full
514,2.64816185820697,kde,full
515,1.639451454780022,kde,full
516,2.7857840200531108,kde,full
517,1.569250058509533,kde,full
518,0.4566384638874855,kde,full
519,-0.8701718579361413,kde,full
520,2.123755104735389,kde,full
521,0.6233933144619463,kde,full
522,-0.7942590884278954,kde,full
523,1.4555468102419975,kde,full
524,2.252330459538295,kde,full
525,2.6197828886719976,kde,full
526,1.827842518489469,kde,full
527,2.3711174606927736,kde,full
528,2.703416438286535,kde,full
529,2.6942668534374112,kde,full
530,1.2263721869568072,kde,full
531,5.517793691474361,kde,full
532,1.5028708954274965,kde,full
533,2.606864391830769,kde,full
534,1.9184551301417305,kde,full
535,2.7991947972594127,kde,full
536,1.4082192840530552,kde,full
537,-0.2155057311542338,kde,full
538,-0.868921495685088,kde,full
539,2.1889703950936448,kde,full
540,0.45916790981615746,kde,full
541,-1.0386934488343758,kde,full
542,1.432062031582206,kde,full
543,2.277192584657673,kde,full
544,2.8243331953019193,kde,full
545,1.2181412550567972,kde,full
546,2.7855989112013195,kde,full
547,2.7299282596988914,kde,full
548,2.7050576863493543,kde,full
549,1.1206467055611784,kde,full
550,5.4905967113394745,kde,full
551,1.6472697532273832,kde,full
552,2.636155489895388,kde,full
553,1.7439031671731873,kde,full
554,2.727314070548723,kde,full
555,1.3067133906366861,kde,full
556,0.028224579259914062,kde,full
557,-1.0485777591333054,kde,full
558,2.420870431582211,kde,full
559,0.404266349644353,kde,full
560,-1.0127456192296567,kde,full
561,1.3550807733640235,kde,full
562,2.1294370607738955,kde,full
563,3.012642277906942,kde,full
564,0.844138323316685,kde,full
565,2.806026519510824,kde,full
566,2.7071449217213335,kde,full
567,2.7514755224501912,kde,full
568,1.290467112755941,kde,full
569,5.373818348284505,kde,full
570,1.7705544816035574,kde,full
571,2.6994765982143987,kde,full
572,3.3699208865945254,kde,full
573,2.5101999009132956,kde,full
574,2.767408399969959,kde,full
575,1.3902004387806906,kde,full
576,4.118532992531021,kde,full
577,-0.9764290360440228,kde,full
578,3.9645080866991647,kde,full
579,0.214649708001086,kde,full
580,-1.2408228972540414,kde,full
581,1.571577926274871,kde,full
582,2.580961857377603,kde,full
583,3.3808678278013757,kde,full
584,0.9089156618512848,kde,full
585,2.953115513996603,kde,full
586,2.7762541847494715,kde,full
587,2.913139861900483,kde,full
588,1.2864045361738423,kde,full
589,5.514135079005384,kde,full
590,1.9415152113360392,kde,full
591,2.7832298120845183,kde,full
592,2.571789327020468,kde,full
593,2.1489482081076736,kde,full
594,2.6483744946795795,kde,full
595,1.6692589604687593,kde,full
596,2.699212684016296,kde,full
597,-1.1351389885298284,kde,full
598,2.080832347322319,kde,full
599,0.15528861618763226,kde,full
600,-0.9207949250698507,kde,full
601,1.7257094654770335,kde,full
602,1.9682774129948797,kde,full
603,2.4603157092403394,kde,full
604,1.9718476713579691,kde,full
605,2.1229919559357384,kde,full
606,2.6677749214158064,kde,full
607,3.227052641949865,kde,full
608,1.6602328853998412,kde,full
609,5.838275957702742,kde,full
610,1.3922325615980407,kde,full
611,2.3615284852813576,kde,full
612,2.704618270159134,kde,full
613,1.9564331374104125,kde,full
614,2.7314316758793677,kde,full
615,1.6648614615914015,kde,full
616,9.529145453759101,kde,full
617,-1.0258689377578663,kde,full
